Production tag;JIRA tickets;Anchor productions;Anchor pass;Collision system;Energy;Run list;Comment;Requester;PWG;PAG;Production status;Requested events;Generated events;Output size;Run time;Saving time;First seen;Last seen
LHC21j7b;ALIROOT-8763;LHC15n;pass5;p-p;5020.0;;-, (EPOS) for pp, anchored to LHC15n (pass5), extra statistics;;;no PAG to select;;2000000;2142300;1137685353003;62842.33;895.6051;1636662288;1636829255
LHC21i3g;;;pass2;p-p;900.0;301000;- Jpsi from b at forward rapidity, O2 commisioning Run3, 02-xxx;;;;;;608608;15666397557;5035.501;36.918602;1636445466;1636730021
LHC21i3f;;;pass2;p-p;900.0;301000;- Jpsi from b at midrapidity, O2 commisioning Run3, 02-xxx;;;;;;614328;17658705894;4781.8457;29.029442;1636445380;1636676940
LHC21k3b;ALIROOT-8765;LHC16d;pass2;p-p;13000.0;252271, 252310, 252317, 252319, 252322, 252325, 252326, 252330;- Phojet simulations for systematic uncertainty evaluation of Material budget weights (pass2 offline), 16d;;PWGGA;;;;0;;;;1636032402;1636330114
LHC21k3a;ALIROOT-8765;LHC16d;pass2;p-p;13000.0;252271, 252310, 252317, 252319, 252322, 252325, 252326, 252330;- Phojet simulations for systematic uncertainty evaluation of Material budget weights (pass2), 16d;;PWGGA;;;;0;;;;1636032399;1636334538
LHC21k2c;ALIROOT-8764;LHC15o;pass2;Pb-Pb;5020.0;;- Hijing plus injected nuclei, hypernuclei LHC15o *pass2* anchors using Geant4, cent 50-90%;;PWGLF;;;400000;45984;712963175407;24709.822;171.99524;1636369673;1636931846
LHC21k2b;ALIROOT-8764;LHC15o;pass2;Pb-Pb;5020.0;;- Hijing plus injected nuclei, hypernuclei LHC15o *pass2* anchors using Geant4, cent 10-50%;;PWGLF;;;400000;46740;1735217474152;65060.676;526.73474;1636369675;1636835178
LHC21k2a;ALIROOT-8764;LHC15o;pass2;Pb-Pb;5020.0;;- Hijing plus injected nuclei, hypernuclei LHC15o *pass2* anchors using Geant4, cent 0-10%;;PWGLF;;;120000;13472;1046916997411;38532.645;297.37552;1636369644;1636828447
LHC21k1_cent;ALIROOT-8758;LHC16q;pass2;p-Pb;5020.0;;- PWGHF HIJING+PYTHIA8 HF-enriched, run-2 pass2 p-Pb, (LHC16q, t), CENT wSDD;;PWGHF;;;49948695;54444200;11743447396497;2.2594305e+06;7599.058;1635894462;1636739009
LHC21k1_fast;ALIROOT-8758;LHC16q;pass2;p-Pb;5020.0;;- PWGHF HIJING+PYTHIA8 HF-enriched, run-2 pass2 p-Pb, (LHC16q, t), FAST;;PWGHF;;;50051305;54760000;11467564629823;2.359022e+06;7788.2656;1635894458;1636675769
LHC21i3e;;;pass2;p-p;900.0;301000;- HF ccbarfilter, O2 commisioning Run3, 02-xxx;;;;;;592592;296688031134;7674.0586;21.755817;1635722394;1636207092
LHC21j8a;ALIROOT-8689;LHC17d;pass2;p-p;13000.0;;- General-purpose Monte Carlo anchored to LHC17d pass2 0-field, store BKG;;PWGGA;;;2917951;3265350;4328907304299;104018.63;555.868;1635535641;1635650258
LHC21j7;ALIROOT-8763;LHC15n;pass5;p-p;5020.0;;-, (EPOS) for pp, anchored to LHC15n (pass5);;;no PAG to select;;2500000;2632600;2530545634592;145865.28;494.87512;1635527098;1635986430
LHC20f2b;ALIROOT-8465;LHC16d;pass2;p-p;13000.0;;General-purpose Monte Carlo anchored to LHC16d pass2 offline;;;no PAG to select;;17067836;18724800;7710391727058;573142.8;4108.331;1635449604;1635559006
LHC21i1a;;;pass2;p-p;900.0;301000, 301001, 301002;-, pilot beam, 02-xxx;;;;;;3300;8979111386;4681.2188;42.019726;1635408965;1635577803
LHC21j6_fast;ALIROOT-8759;LHC16q;pass2;p-Pb;5020.0;;- Lc -> pKpi dedicated, pass2 p-Pb @, PYTHIA8, FAST;;PWGHF;;;12012536;13024800;2776462171148;413279.22;1795.7615;1634980726;1635687718
LHC21j6_cent_wSDD;ALIROOT-8759;LHC16q;pass2;p-Pb;5020.0;;- Lc -> pKpi dedicated, pass2 p-Pb @, PYTHIA8, CENT;;PWGHF;;;11987464;12987400;2852706103534;413109.06;1819.3046;1634980704;1635684838
LHC21d9y;;;pass2;;;300300;DelphesO2 Simulation + AOD, pp setup, BBBAR BDforced, Dipole v1, rmin 20 cm, O2-2572;;;;;;1070600000;17591810803387;51368.527;961.30084;1634676347;1634754658
LHC21c5i;ALIROOT-8678;, LHC18p;pass2;p-p;13000.0;;- Weighted jet-jet (CALOFAST) for EMCAL trigger development andchored to 2018 periods, reconstructions with finer bins stage2;;PWGJE;;;150000000;167235000;29921113115002;47732.01;7929.917;1634634010;1634756645
LHC21i3d;;;pass2;p-p;900.0;301000;- Prompt charmonia at forward rapidity, O2 commisioning Run3, 02-xxx;;;;;;554840;15234041446;4732.6523;29.755583;1634567237;1636300689
LHC21i3c;;;pass2;p-p;13000.0;301000;- Jets, O2 commisioning Run3, 02-xxx;;;;;;92500;9360939781;1791.8578;17.286406;1634251796;1636007407
LHC21i3b;;;pass2;p-p;900.0;301000;- Jpsi, O2 commisioning Run3, 02-xxx;;;;;;1143428;16086907284;5981.023;33.293922;1634251782;1636131145
LHC21i3a;;;pass2;p-p;13000.0;301000;- MB, O2 commisioning Run3, 02-xxx;;;;;;8280000;224238488438;11224.314;25.126379;1634251754;1635934980
LHC21j5b;ALIROOT-8757;LHC16r;pass2;p-Pb;900.0;;- HF anchored to pPb (Pbp) at, (LHC16r + LHC16s) pass2, EMCal trigger, high threshold EG1;;PWGHF;;;51586591;56066500;50321352302825;1.905251e+06;8999.846;1634246170;1635069132
LHC21j5a;ALIROOT-8757;LHC16r;pass2;p-Pb;900.0;;- HF anchored to pPb (Pbp) at, (LHC16r + LHC16s) pass2, MB CENT wSDD;;PWGHF;;;8845414;10591250;9637266748599;349793.44;1651.1918;1634246159;1635064485
LHC21j3;ALIROOT-8752;, LHC16p;pass1;p-p;13000.0;;- Central barrel simulation with injected J/psi (LLbar), anchored to 2016 periods from pp at;;PWGDQ;;;20000000;21745200;6806055217193;284433.72;1652.5474;1634326022;1634468361
LHC21j4_cent_woSDD;ALIROOT-8754;LHC16q;pass2;p-Pb;5020.0;;- Central barrel simulation anchored to pass2 of p-Pb at, (LHC16q, LHC16t) with injected J/psi, CENT w/oSDD;;PWGDQ;;;9989553;1119000;705501835119;39662.707;347.52985;1634148877;1634339214
LHC21j4_fast;ALIROOT-8754;LHC16q;pass2;p-Pb;5020.0;;- Central barrel simulation anchored to pass2 of p-Pb at, (LHC16q, LHC16t) with injected J/psi, FAST;;PWGDQ;;;10010447;1137400;748011698793;42036.703;336.03305;1634148874;1634337213
LHC21j2a;ALIROOT-8753;LHC15n;pass5;p-p;5020.0;;- General-purpose Monte Carlo anchored to LHC15n pass5, store BKG;;;no PAG to select;;32129677;35913000;19519725031796;1.1463855e+06;5817.054;1635514843;1635623893
LHC21j1a_cent_woSDD;ALIROOT-8751;LHC17p;pass2;p-p;5020.0;;- General-purpose Monte Carlo anchored to LHC17p/q pass2, CENT woSDD, store BKG;;;no PAG to select;;108178050;119902350;81578608743319;3.5619655e+06;35938.215;1633317126;1633918179
LHC21j1a_fast;ALIROOT-8751;LHC17p;pass2;p-p;5020.0;;- General-purpose Monte Carlo anchored to LHC17p/q pass2, FAST, store BKG;;;no PAG to select;;190162200;212189700;138415060087480;6.454053e+06;59405.008;1633289029;1633878710
